Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,226.86331176757812,311.8921813964844,27823.66015625,9725.9599609375,234.27000427246094,337.4200134277344,27823.66015625,9725.9599609375,234.3800048828125,337.6499938964844,27892.48046875,9728.76953125,232.8000030517578,336.42999267578125,27614.830078125,9666.6904296875,233.3800048828125,336.8299865722656,27717.220703125,9688.599609375,24471300.0,43992700.0,1796561200.0,2366510000.0
2020-02-13,226.5728302001953,311.55938720703125,27730.0,9711.9697265625,233.97000122070312,337.05999755859375,27730.0,9711.9697265625,234.92999267578125,338.1199951171875,27953.650390625,9748.3203125,232.36000061035156,335.55999755859375,27695.599609375,9650.01953125,232.63999938964844,335.8599853515625,27953.650390625,9657.0400390625,22773200.0,54501900.0,1617010200.0,2254870000.0
2020-02-14,227.2216339111328,312.0584716796875,27815.599609375,9731.1796875,234.63999938964844,337.6000061035156,27815.599609375,9731.1796875,234.86000061035156,337.7300109863281,27960.66015625,9746.3603515625,233.5500030517578,336.20001220703125,27695.58984375,9693.0498046875,234.33999633789062,337.510009765625,27698.560546875,9728.900390625,23438500.0,64582200.0,1445335900.0,2226720000.0
2020-02-17,,,27959.599609375,,,,27959.599609375,,,,28055.580078125,,,,27766.7109375,,,,27766.7109375,,,,1412999200.0,
2020-02-18,227.30880737304688,311.2542724609375,27530.19921875,9732.740234375,234.72999572753906,336.7300109863281,27530.19921875,9732.740234375,235.1699981689453,337.6700134277344,27771.30078125,9747.6796875,233.25,335.2099914550781,27496.25,9675.7998046875,233.5,336.510009765625,27766.5,9679.0400390625,24394500.0,57226200.0,1592221400.0,2279420000.0
2020-02-19,229.48765563964844,312.742431640625,27655.810546875,9817.1796875,236.97999572753906,338.3399963378906,27655.810546875,9817.1796875,237.47000122070312,339.0799865722656,27697.4609375,9838.3701171875,235.85000610351562,337.4800109863281,27448.599609375,9777.099609375,236.1300048828125,337.7900085449219,27486.4609375,9782.8095703125,22230500.0,48814700.0,1471538100.0,2470860000.0
2020-02-20,227.357177734375,311.4576721191406,27609.16015625,9750.9697265625,234.77999877929688,336.95001220703125,27609.16015625,9750.9697265625,236.9499969482422,338.6400146484375,27767.279296875,9820.8603515625,231.8800048828125,333.67999267578125,27383.130859375,9636.9404296875,236.4600067138672,337.739990234375,27767.279296875,9799.2001953125,42604000.0,74163400.0,1582073100.0,2745730000.0
2020-02-21,222.98980712890625,308.2501525878906,27308.810546875,9576.58984375,230.27000427246094,333.4800109863281,27308.810546875,9576.58984375,234.00999450683594,335.80999755859375,27484.529296875,9715.9501953125,229.32000732421875,332.5799865722656,27264.779296875,9542.330078125,233.61000061035156,335.4700012207031,27450.4609375,9708.009765625,66017200.0,113788200.0,1773613400.0,2750160000.0
2020-02-24,214.39053344726562,298.0269775390625,26820.880859375,9221.2802734375,221.38999938964844,322.4200134277344,26820.880859375,9221.2802734375,224.25,333.55999755859375,27105.349609375,9322.8798828125,220.25999450683594,321.239990234375,26813.220703125,9166.009765625,221.67999267578125,323.1400146484375,27105.349609375,9188.4404296875,84522600.0,161088400.0,2044657000.0,3188590000.0
2020-02-25,208.5608367919922,288.9960632324219,26893.23046875,8965.6103515625,215.3699951171875,312.6499938964844,26893.23046875,8965.6103515625,223.99000549316406,324.6099853515625,26914.05078125,9315.259765625,214.74000549316406,311.69000244140625,26667.0390625,8940.490234375,223.25,323.94000244140625,26722.390625,9301.2001953125,97743000.0,218913200.0,1924042900.0,3595520000.0
